filter_id,arm,fueltype,group,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25
3M53113,Control,Biomass,Control,0.2568,1.6491,2.8169,0.3101,0.7502,0.528,0.1151,0.0349,0.8496,0.0137,1.3807,0.2632,18.38759788,156.8126026
3M53118,Intervention,LPG,Intervention,0.2392,1.1632,2.1554,0.3415,0.3037,0.309,0.0736,0.0241,0.656,0.0031,0.3908,0.4126,1.596680527,16.83160249
3M53119,Control,Biomass,Baseline,0.4577,2.6041,4.405,0.532,2.7862,1.2042,0.2849,0.071,2.0476,0.0031,3.9758,0.3937,18.99960236,157.4262021
3M53122,Control,Biomass,Control,0.5304,1.6216,4.4284,0.4343,0.7367,1.524,0.1359,0.055,1.0925,0.0632,1.0812,0.5148,4.595467606,36.21317875
3M53129,Control,Biomass,Control,0.2997,1.2178,2.7427,0.5919,2.5506,0.6198,0.0875,0.0309,0.8112,0.0285,3.9375,0.2383,15.13213172,406.8617874
3M53137,Control,Biomass,Control,0.3669,1.4683,3.5788,0.4896,1.5133,0.481,0.099,0.0214,1.0085,0.0155,1.5176,0.3218,11.3776171,226.6829193
3M53144,Intervention,LPG,Intervention,0.3837,1.7273,3.7722,0.391,0.5331,0.5579,0.1359,0.0535,1.2349,0.0082,0.725,0.4116,5.363838611,34.92500147
3M53145,Intervention,Biomass,Baseline,0.4124,1.3571,3.5879,0.4169,1.2061,0.6494,0.092,0.0362,0.8277,0.01,1.3277,0.3903,14.47939256,98.9502245
3M53146,Control,Biomass,Control,0.1191,0.625,1.2152,0.5033,1.8785,0.5225,0.0345,0.0188,0.3802,0.01,1.5359,0.1583,15.39263795,158.5923221
3M53155,Control,Biomass,Control,0.0718,0.4865,0.7099,0.2602,0.2308,0.1342,0.053,0.0173,0.276,0.0046,0.0813,0.10780000000000001,3.887778562,22.68924924
3M53156,Control,Biomass,Control,0.1174,0.1751,0.1417,0.3417,0.8169,0.2579,0.0323,0.0374,0.3417,0.023,0.484,0.1523,8.347494542,82.59851791
3M53159,Control,Biomass,Control,0.1039,0.2635,0.5291,0.3063,0.9895,0.2378,0.03,0.0148,0.271,0.0046,1.1579,0.2564,11.67454515,84.58973218
3M53173,Intervention,Biomass,Baseline,0.2442,1.2156,2.7873,0.5397,3.0546,1.4504,0.1083,0.1474,1.1053,0.023,3.7585,0.3172,17.40303396,172.8200335
3M53177,Intervention,LPG,Intervention,0.0351,0.1346,0.4434,0.1611,0.1214,0.1677,0.0276,0.0228,0.2013,0.0031,0.0555,0.1204,3.682373309,23.85394558
3M53178,Intervention,Biomass,Baseline,0.0404,0.0562,0.2208,0.1834,0.3664,0.1803,0.0111,0.0121,0.1854,0.0031,0.0475,0.0939,2.614959893,21.06083422
3M53179,Control,Biomass,Control,0.2102,0.656,2.2078,0.3709,2.0374,0.6639,0.0805,0.0228,0.5318,0.0155,1.8884,0.2818,20.9052151,181.4790068
3M53187,Intervention,LPG,Intervention,0.0499,0.7501,1.482,0.1554,0.2106,0.0955,0.0415,0.0068,0.4423,0.0031,0.0298,0.0897,2.00199456,11.73212309
3M53189,Intervention,LPG,Intervention,0.0886,0.6038,1.5976,0.2862,0.3138,0.183,0.0484,0.008,0.3748,0.0064,0.0393,0.193,2.557331195,16.01965077
3M53190,Control,Biomass,Control,0.1598,0.8074,1.1599,0.2767,0.4741,0.2829,0.0254,0.0201,0.3117,0.0046,0.0798,0.1373,2.682704968,25.20752697
3M53194,Control,Biomass,Control,0.1134,0.5966,0.7911,0.2562,1.2331,0.2075,0.0276,0.0108,0.2111,0.0031,1.2747,0.1786,13.39747784,112.4276886
3M53196,Intervention,LPG,Intervention,0.0787,0.8153,1.1219,0.2743,0.4043,0.3886,0.0391,0.0173,0.3674,0.0267,0.2153,0.0935,2.293588753,24.18234371
3M53199,Intervention,LPG,Intervention,0.1404,1.0392,2.4669,0.2708,0.2884,0.3987,0.1335,0.0804,0.8423,0.01,0.2018,0.3064,3.682373309,23.85394558
3M53203,Intervention,LPG,Intervention,0.1048,0.6478,1.3295,0.3107,0.379,0.4102,0.0415,0.0161,0.3169,0.0119,0.1666,0.1359,6.12517992,31.84302724
3M53208,Control,Biomass,Control,0.1978,0.6743,1.8119,0.3919,1.6977,0.5789,0.069,0.0281,0.4953,0.0031,1.9212,0.2272,13.59372155,103.3600941
3M53209,Control,Biomass,Control,0.0825,0.3043,1.2724,0.2239,0.2862,0.5382,0.0621,0.0763,0.561,0.0413,0.1381,0.1373,2.632688434,18.84766181
3M53210,Intervention,LPG,Intervention,0.1081,0.1925,0.6467,0.3055,0.5119,0.1731,0.0415,0.0038,0.2531,0.0175,0.042,0.2133,5.266034481,22.56294592
3M53213,Intervention,LPG,Intervention,0.1059,0.4348,0.9382,0.2155,0.3821,0.3002,0.0506,0.0241,0.3711,0.0031,0.0745,0.1625,2.575930641,10.58108766
3M53217,Control,Biomass,Control,0.1379,0.5844,0.5382,0.3598,1.1016,0.2104,0.03,0.008,0.2959,0.0031,0.6684,0.1684,18.05722525,74.94724244
3M53224,Control,Biomass,Control,0.3159,1.2035,2.9252,0.3096,1.2305,0.7563,0.0714,0.0374,0.5245,0.0031,1.4464,0.3401,9.239886255,91.16885577
3M53226,Control,Biomass,Control,0.1187,0.4675,0.1686,0.2453,0.2082,0.122,0.0206,0.0038,0.1096,0.0031,0.0488,0.2016,5.948405638,11.1833
3M53231,Intervention,LPG,Intervention,0.0889,0.4513,0.2608,0.2411,0.3961,0.134,0.0161,0.0038,0.1892,0.0155,0.1408,0.2022,6.395070677,37.00539257
3M53234,Intervention,LPG,Intervention,0.0846,0.9961,0.8036,0.2745,0.6664,0.0951,0.053,0.0133,0.4241,0.0031,0.069,0.1021,4.272256986,17.99439654
3M53237,Intervention,LPG,Intervention,0.1227,0.7709,0.5196,0.2714,1.0021,0.1642,0.023,0.0201,0.2093,0.0031,0.7725,0.1898,11.99074699,70.63075253
3M53247,Intervention,LPG,Intervention,0.149,0.9301,1.0702,0.2654,0.3304,0.1803,0.0599,0.0254,0.3748,0.0064,0.2546,0.1848,3.558997325,25.25863342
3M53250,Intervention,Biomass,Baseline,0.1114,0.6536,0.5232,0.2964,0.5046,0.4063,0.0438,0.0093,0.1912,0.0119,0.5716,0.1359,12.79854199,75.97270691
3M53252,Control,Biomass,Control,0.1032,1.1816,1.2769,0.3191,1.32,0.2394,0.0603,0.008,0.4515,0.0429,1.9468,0.0871,15.20696851,131.6735846
3M53253,Control,Biomass,Control,0.0599,0.4478,0.0088,0.385,0.6109,0.1704,0.0111,0.0068,0.1017,0.0082,0.2922,0.0517,9.991338964,71.10638088
3M53256,Intervention,LPG,Intervention,0.1388,0.8627,0.9371,0.3072,0.2597,0.297,0.0575,0.0201,0.3163,0.0031,0.2601,0.1892,2.646143401,27.23198155
3M53261,Control,Biomass,Control,0.0997,0.5009,0.2608,0.5203,4.8973,0.2564,0.0161,0.0389,0.1156,0.0031,12.3639,0.0517,6.086405097,416.77552
3M53270,Control,Biomass,Control,0.219,0.8494,0.7796,0.4381,2.9505,0.3004,0.0457,0.0294,0.3163,0.0119,4.7447,0.1781,14.25604532,57.98415593
3M53276,Intervention,LPG,Intervention,0.1781,0.8574,0.9427,0.2073,0.1529,0.1635,0.0391,0.0173,0.2601,0.0031,0.1273,0.1881,2.536553319,14.75453002
3M53277,Intervention,LPG,Intervention,0.1023,0.6423,0.4073,0.2475,0.8434,0.1488,0.0111,0.0038,0.1782,0.0082,0.5095,0.1571,5.778472921,33.82095549
3M53278,Control,Biomass,Control,0.1401,1.1493,0.9203,0.2051,0.4796,0.3799,0.076,0.0038,0.4387,0.0301,0.4986,0.1315,6.223138709,36.35183889
3M53279,Control,Biomass,Control,0.1121,0.7858,0.6881,0.5055,1.842,0.248,0.0668,0.0362,0.3236,0.0265,3.1102,0.1171,12.95521573,277.4945233
3M53281,Intervention,LPG,Intervention,0.1673,1.0313,1.0034,0.2971,0.4564,0.1684,0.0584,0.0241,0.3583,0.0137,0.4639,0.1952,3.842016719,18.86594166
3M53289,Control,Biomass,Control,0.2593,1.0256,1.1785,0.4557,2.704,0.4275,0.0621,0.0214,0.4752,0.0265,3.4681,0.181,14.03580758,147.7652706
3M53290,Intervention,LPG,Intervention,0.099,0.4476,1.2143,0.2584,0.2849,0.3191,0.0506,0.0309,0.4533,0.0031,0.2849,0.0973,2.646143401,27.23198155
3M53292,Control,Biomass,Control,0.1974,1.0459,1.3538,0.6058,3.3267,0.3554,0.0345,0.0535,0.5391,0.0031,4.4433,0.1565,12.24162767,229.9606901
3M53293,Control,Biomass,Control,0.215,1.1255,1.6035,0.6768,3.9806,0.5031,0.0714,0.0603,0.6633,0.0031,5.141,0.1799,12.24162767,229.9606901
3M53294,Intervention,LPG,Intervention,0.1645,1.0919,1.0483,0.2906,0.2462,0.1872,0.0369,0.0188,0.4204,0.0321,0.172,0.1635,2.685701457,20.26608576
3M53300,Control,Biomass,Control,0.1202,0.7046,0.5901,0.3956,1.999,0.179,0.0206,0.0161,0.3401,0.0575,2.7285,0.2181,14.103186000000001,135.7527227
3M53302,Intervention,LPG,Intervention,0.0637,0.488,0.0506,0.1426,0.2385,0.0836,0.0438,0.0038,0.0559,0.063,0.0825,0.0517,2.619369606,10.75952084
3M53312,Control,Biomass,Control,0.1737,0.8147,0.8804,0.265,0.5331,0.3291,0.0575,0.0228,0.4149,0.0031,0.4109,0.2067,7.366462647,30.01606241
3M53316,Control,Biomass,Control,0.0873,0.5669,0.6374,0.4126,0.8962,0.3284,0.046,0.0268,0.3138,0.0155,2.3431,0.1006,4.346811879,435.5863161
3M53317,Control,Biomass,Control,0.0763,0.4761,0.1342,0.1202,0.5983,0.1163,0.03,0.008,0.1355,0.0119,1.0172,0.0517,9.229028268,124.5968643
3M53320,Control,Biomass,Control,0.1998,0.8216,1.3149,0.391,1.5242,0.6688,0.0506,0.0321,0.2652,0.0031,3.3695,0.0926,11.59708586,300.2218934
3M53321,Control,Biomass,Control,0.1006,0.4849,0.1717,0.3043,3.3523,0.1611,0.0111,0.0173,0.1326,0.0031,7.517,0.0517,14.35413217,135.1737424
3M53322,Intervention,LPG,Intervention,0.0873,0.8428,0.6553,0.1498,0.7305,0.1996,0.0345,0.0038,0.2381,0.0119,0.8766,0.1408,8.604697128,47.7401338
3M53325,Control,Biomass,Control,0.1045,0.7778,0.6385,0.223,1.0357,0.2465,0.0276,0.008,0.2469,0.0173,1.4227,0.1015,12.57563053,132.3970426
3M53333,Control,Biomass,Control,0.1496,0.8622,1.3178,0.2644,1.3286,0.3114,0.0548,0.0068,0.2579,0.0031,2.018,0.0866,11.49195838,125.0343648
3M53338,Intervention,Biomass,Baseline,0.1656,1.2797,1.7043,0.7064,4.3184,0.5932,0.0968,0.0495,0.7455,0.0031,6.6276,0.111,16.15176037,429.1321657
3M53340,Control,Biomass,Control,0.0877,0.7358,1.0567,0.3265,1.215,0.4242,0.0553,0.0201,0.3127,0.0338,2.1331,0.0517,17.23776472,312.5201642
3M53341,Control,Biomass,Control,0.0891,0.4526,0.2798,0.1572,0.2845,0.1576,0.0111,0.0038,0.1026,0.0031,0.084,0.0517,3.651754288,10.51136055
3M53342,Intervention,LPG,Intervention,0.0499,0.4166,0.0727,0.0716,0.1456,0.063,0.0111,0.0038,0.0778,0.021,0.0325,0.0517,1.325949704,16.37268789
3M53343,Intervention,LPG,Intervention,0.0586,0.4836,0.0785,0.112,0.7055,0.2343,0.0111,0.0038,0.1266,0.01,0.7743,0.0517,2.588810294,10.63399309
3M53346,Control,Biomass,Control,0.0482,0.3189,0.0088,0.0897,0.2745,0.0566,0.0111,0.0201,0.0279,0.0137,0.2502,0.0517,53.48116984,129.2509924
3M53347,Control,Biomass,Control,0.1098,0.5313,0.3631,0.1213,0.6182,0.2316,0.0254,0.0173,0.1474,0.0046,0.7707,0.0517,9.815306174,71.24325819
3M53349,Intervention,LPG,Intervention,0.0524,0.5019,0.0373,0.1361,0.1074,0.0416,0.0111,0.0148,0.0977,0.0031,0.0108,0.0517,2.595343824,18.58030827
3M53350,Intervention,LPG,Intervention,0.0542,0.3559,0.0088,0.1496,0.1083,0.1045,0.0323,0.0038,0.0588,0.0031,0.019,0.0517,2.668876592,10.96287948
3M53351,Control,Biomass,Control,0.0703,0.5276,0.3695,0.1477,0.183,0.1156,0.0111,0.0161,0.0847,0.0031,0.0312,0.0736,2.646143401,10.8694989
3M53354,Control,Biomass,Control,0.0603,0.4158,0.0689,0.3293,1.5553,0.1817,0.0111,0.0068,0.0816,0.0466,2.0454,0.0517,19.94609308,109.4953819
3M53355,Intervention,LPG,Intervention,0.1514,1.4523,1.6891,0.1034,0.4001,0.4471,0.095,0.0871,1.0066,0.0137,0.5004,0.1331,2.666671055,31.3275514
3M53358,Control,Biomass,Control,0.0891,0.4442,0.0385,0.1129,0.6891,0.3799,0.023,0.0161,0.0917,0.0031,0.6976,0.0517,13.59360362,89.29156068
3M53368,Control,Biomass,Control,0.0793,0.3698,0.3598,0.1322,0.2385,0.2223,0.0111,0.0093,0.25,0.0031,0.1435,0.0838,2.60618486,23.32240031
3M53378,Control,Biomass,Control,0.1225,0.3351,0.0088,0.1644,0.5868,0.9809,0.0111,0.0148,0.0637,0.0031,1.2656,0.0517,12.37823649,59.57207394
3M53385,Control,Biomass,Baseline,0.2407,0.8087,0.9743,0.2427,0.784,0.5727,0.0369,0.0201,0.3178,0.0031,0.9844,0.1691,12.10844671,80.81482898
3M53392,Control,Biomass,Baseline,0.2274,0.6138,1.5432,0.2968,0.8976,0.4292,0.0415,0.0148,0.4898,0.0031,1.0812,0.2847,8.541388686,64.56995626
3M53393,Control,Biomass,Baseline,0.1755,0.8288,1.6542,0.3543,1.3012,0.4973,0.0875,0.0241,0.6688,0.0175,2.113,0.2274,13.25368982,114.0706097
3M53395,Control,Biomass,Control,0.2197,0.7904,1.6435,0.3771,1.2651,0.4242,0.0553,0.0254,0.6085,0.0031,1.3588,0.1799,10.01018052,93.5961064
3M53398,Control,Biomass,Control,0.0648,0.0433,0.0511,0.318,1.568,0.4538,0.0111,0.0038,0.0657,0.01,2.3212,0.1492,14.86528741,68.43063885
3M53402,Intervention,LPG,Intervention,0.053900000000000003,0.0077,0.1565,0.2469,0.2507,0.1127,0.0111,0.0068,0.0827,0.01,0.0447,0.1593,14.37783366,34.81039438
3M53405,Intervention,LPG,Intervention,0.0546,0.4796,0.646,0.1992,0.2953,0.2834,0.0575,0.0201,0.3875,0.0031,0.1218,0.1439,2.214809456,11.86248001
3M53407,Control,Biomass,Control,0.0617,0.0579,0.0849,0.8273,8.8951,0.1172,0.0111,0.0038,0.0977,0.023,17.2602,0.0517,13.42420832,456.8602945
3M53421,Control,Biomass,Baseline,0.0964,0.7548,0.6242,0.2177,0.5899,0.1631,0.0206,0.0108,0.284,0.0155,0.4748,0.147,7.170049079,32.70623667
3M53422,Intervention,Biomass,Baseline,0.1304,0.6485,0.5033,0.2995,1.163,0.45,0.0369,0.0038,0.3198,0.0082,1.7788,0.0935,15.53289974,221.6587785
3M53431,Control,Biomass,Control,0.2276,0.8344,1.1336,0.3601,0.8695,0.3494,0.0438,0.0108,0.4131,0.0031,1.3423,0.3583,11.99671342,104.1657059
3M53435,Control,Biomass,Control,0.1635,0.5954,0.5156,0.2438,0.217,0.1439,0.0345,0.0038,0.2361,0.0031,0.1693,0.1956,2.373902547,11.96976394
3M53438,Intervention,LPG,Intervention,0.1043,0.3457,0.5913,0.1441,0.1514,0.2588,0.0206,0.0068,0.2391,0.0064,0.2071,0.1609,0.961553445,11.8731611
3M53440,Intervention,LPG,Intervention,0.2601,0.8733,2.4534,0.3673,0.5669,0.397,0.076,0.0038,0.6158,0.0031,0.8492,0.4589,4.746212733,33.00544899
3M53444,Intervention,Biomass,Baseline,0.2557,0.5923,1.9857,0.4292,1.0227,0.385,0.0575,0.0349,0.4789,0.01,1.6035,0.4272,14.48486557,91.05477855
3M53448,Control,Biomass,Control,0.3497,0.6458,1.6272,0.7126,4.4828,1.2168,0.0805,0.0228,0.6012,0.0064,9.9587,0.3647,14.58846415,234.799841
3M53455,Intervention,LPG,Intervention,0.057,0.1817,0.194,0.381,0.4951,0.0857,0.0161,0.0038,0.1684,0.0303,0.8584,0.1344,9.96160821,39.31822961
3M53457,Intervention,LPG,Intervention,0.0946,0.7687,0.614,0.1353,0.0993,0.1689,0.0276,0.0254,0.3417,0.0031,0.0758,0.086,2.619369606,10.75952084
3M53464,Control,Biomass,Control,0.1982,0.8025,1.013,0.5194,1.8201,0.1773,0.0184,0.0068,0.2944,0.0192,2.1769,0.1328,14.25457288,99.02647825
3M53465,Intervention,LPG,Intervention,0.1021,0.5285,0.3278,0.3282,0.1934,0.1043,0.0111,0.0038,0.1384,0.0247,0.0312,0.1174,2.777204893,16.4507759
3M53467,Intervention,LPG,Intervention,0.1348,0.8032,0.6481,0.2999,0.2254,0.1313,0.0184,0.0038,0.2292,0.0031,0.1003,0.1014,2.600051801,10.68016956
3M53472,Intervention,LPG,Intervention,0.0995,0.805,0.7605,0.1682,0.6215,0.1724,0.0345,0.0228,0.2252,0.053900000000000003,0.5881,0.0897,10.14628665,51.08602352
3M53482,Control,Biomass,Control,0.2371,1.1838,1.4935,0.3919,0.557,0.6089,0.0676,0.0281,0.6158,0.0173,0.4511,0.2064,5.494832562,36.02881841
3M53487,Intervention,LPG,Intervention,0.0506,0.4582,0.2069,0.2022,0.1629,0.1147,0.0111,0.008,0.0986,0.0031,0.042,0.0517,3.440522208,11.79127665
3M53492,Intervention,LPG,Intervention,0.1214,0.8857,0.6951,0.1709,0.2272,0.4191,0.0111,0.008,0.3912,0.0265,0.3342,0.1169,4.043726238,22.84841262
3M53502,Intervention,LPG,Intervention,0.1446,1.548,2.3941,0.1627,0.3307,0.3138,0.10780000000000001,0.1045,0.8879,0.0082,0.2234,0.0973,4.267722332,36.02881841
3M53504,Control,Biomass,Control,0.0716,0.4546,0.0435,0.301,1.4,0.154,0.0111,0.0161,0.0758,0.0338,1.2492,0.0517,13.25925246,157.9326037
3M53519,Control,Biomass,Control,0.2745,0.8998,1.0729,0.4568,1.7507,0.8109,0.0599,0.0161,0.3309,0.0155,1.6729,0.1487,14.29751953,114.1057138
3M53521,Control,Biomass,Control,0.1036,0.5296,0.2411,0.4031,0.8474,0.145,0.023,0.0214,0.1465,0.0137,0.4694,0.0844,14.13509895,73.96396362
3M53523,Control,Biomass,Control,0.1339,1.2727,1.2866,0.4348,0.6889,0.2137,0.10780000000000001,0.0121,0.4953,0.0046,0.4675,0.1404,19.69915168,87.22304503
3M53524,Control,Biomass,Control,0.1156,0.7597,0.6649,0.4191,0.7168,0.2182,0.0553,0.0188,0.2699,0.0192,0.2758,0.1202,4.516990744,19.56147019
3M53527,Control,Biomass,Control,0.0676,0.1163,0.2856,0.3477,0.9204,0.2266,0.0369,0.0201,0.263,0.0031,0.8401,0.1081,14.13509895,73.96396362
3M53528,Control,Biomass,Control,0.1801,0.671,0.6107,0.4268,1.3398,0.4628,0.046,0.0254,0.2798,0.0394,1.3387,0.1085,11.49302048,79.59915292
3M53530,Intervention,LPG,Intervention,0.1028,0.6675,0.5148,0.3989,0.4195,0.1079,0.0111,0.0148,0.2281,0.0031,0.153,0.1034,7.297728138,32.70623667
3M53534,Control,Biomass,Baseline,0.1563,0.4675,0.1715,0.2873,1.2663,0.2663,0.0254,0.0038,0.1145,0.0031,1.3807,0.1099,12.91657718,75.54429666
3M53540,Control,Biomass,Control,0.1373,0.629,0.2575,0.2898,1.7781,0.3375,0.0645,0.0148,0.1744,0.0031,2.3066,0.0517,19.58279101,112.6515207
3M53543,Control,Biomass,Control,0.1507,1.766,2.5157,0.3527,1.1118,0.4301,0.0822,0.0402,0.6944,0.0031,1.8153,0.149,12.69059321,139.9190075
3M53552,Intervention,LPG,Intervention,0.0811,0.5819,0.1421,0.162,0.3857,0.1244,0.0111,0.0121,0.1236,0.0265,0.5515,0.0517,3.077270257,15.18745515
3M53573,Control,Biomass,Control,0.1861,1.6983,2.3068,0.2639,0.5294,0.4135,0.1242,0.0683,0.86240000000000006,0.0046,0.5935,0.1702,6.395067116,41.50639995
3M53610,Control,Biomass,Control,0.0647,0.4281,0.0732,0.1224,0.2745,0.0877,0.0184,0.0038,0.0857,0.0064,0.0773,0.0517,2.60618486,23.32240031
3M53611,Intervention,LPG,Intervention,0.0749,0.5866,1.1737,0.1081,0.3001,0.0835,0.0111,0.0161,0.1693,0.0031,0.1761,0.0913,2.650659004,17.79029512
3M53616,Intervention,LPG,Intervention,0.0493,0.4153,0.0201,0.0997,0.3771,0.1123,0.0254,0.0038,0.0707,0.0064,0.2849,0.0517,7.198069706,43.22027031
3M53619,Intervention,LPG,Intervention,0.0674,0.4894,0.4308,0.1034,0.1952,0.177,0.0111,0.0068,0.0657,0.0119,0.1083,0.0924,2.655190045,16.63265882
3M53624,Control,Biomass,Control,0.1255,0.6796,0.4684,0.2213,0.5786,0.5011,0.0345,0.0188,0.233,0.0247,0.6666,0.10780000000000001,8.750107769,47.2422229
3M53628,Control,Biomass,Control,0.1631,0.5786,0.2056,0.1691,0.7592,0.5391,0.0345,0.0108,0.2002,0.0031,0.9716,0.0517,15.39420619,71.95449223
3M53629,Control,Biomass,Control,0.1037,0.4067,0.2305,0.3872,3.2336,0.391,0.03,0.0108,0.0836,0.0031,7.1645,0.0517,9.028981099,256.1802497
3M53632,Control,Biomass,Control,0.2732,0.9414,0.9173,0.3457,2.2858,0.6118,0.0438,0.051,0.5026,0.01,3.5046,0.1211,12.21833372,154.967895
3M53638,Intervention,LPG,Intervention,0.0427,0.416,0.0088,0.0741,0.1704,0.0234,0.0111,0.0038,0.025,0.0031,0.0785,0.0517,2.593132181,10.651746
3M53639,Intervention,LPG,Intervention,0.1499,0.8218,0.5563,0.122,0.4551,0.73,0.0184,0.0038,0.267,0.0119,0.5059,0.0888,25.50863047,72.66520542
3M53650,Control,Biomass,Control,0.2498,2.1567,4.2275,0.1972,1.1646,0.6346,0.0785,0.0374,0.7619,0.0155,1.3259,0.3366,16.08719883,95.16539559
