filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,Cl,Na,BC,PM25,arm,fueltype,group
3M53111,0.0263,0.0872,0.1704,0.0442,0.1733,0.0467,0.0149,0.007,0.0688,0.0037,0.1872,0.0271,3.4641,8.9478,Control,Biomass,Control
3M53113,0.0217,0.1338,0.2282,0.0251,0.0623,0.0443,0.0175,0.0085,0.074,0.0094,0.1188,0.0234,3.0627,9.1164,Control,Biomass,Control
3M53118,0.0203,0.0945,0.1746,0.0277,0.0262,0.0266,0.0154,0.0072,0.0582,0.0037,0.0385,0.035,1.1228,4.7267,Intervention,LPG,Intervention
3M53119,0.038,0.2111,0.3567,0.0431,0.227,0.099,0.0318,0.0114,0.171,0.0037,0.3285,0.0341,3.3687,9.1428,Control,Biomass,Baseline
3M53122,0.0437,0.1316,0.3586,0.0352,0.0612,0.1246,0.0196,0.0105,0.0937,0.015,0.0942,0.0434,1.4986,4.9912,Control,Biomass,Control
3M53129,0.0253,0.0989,0.2222,0.048,0.2078,0.052,0.0164,0.0075,0.0705,0.0114,0.3255,0.0221,2.2491,20.868,Control,Biomass,Control
3M53137,0.0306,0.1192,0.2899,0.0397,0.1239,0.0408,0.0168,0.0068,0.0867,0.0096,0.1298,0.0283,1.9043,12.2514,Control,Biomass,Control
3M53144,0.0319,0.1401,0.3055,0.0317,0.0448,0.0467,0.0199,0.0108,0.1052,0.0073,0.0656,0.0351,1.4945,4.9682,Intervention,LPG,Intervention
3M53145,0.0342,0.1102,0.2906,0.0338,0.0991,0.0541,0.0164,0.0079,0.0724,0.0093,0.1141,0.0335,2.2594,6.7905,Intervention,Biomass,Baseline
3M53146,0.011,0.051,0.0986,0.0408,0.1534,0.044,0.0115,0.0067,0.0358,0.0099,0.1312,0.0154,4.073,9.193,Control,Biomass,Control
3M53155,0.0073,0.0398,0.0577,0.0211,0.0202,0.0129,0.0103,0.0058,0.0272,0.0071,0.0139,0.011,3.0146,4.7875,Control,Biomass,Control
3M53156,0.0106,0.0151,0.0123,0.0277,0.0676,0.0229,0.0091,0.0084,0.0329,0.0108,0.0468,0.0147,2.6315,6.2201,Control,Biomass,Control
3M53159,0.0098,0.0221,0.0431,0.0248,0.0816,0.0213,0.0094,0.0061,0.0271,0.008,0.1006,0.0226,1.9476,6.2866,Control,Biomass,Control
3M53173,0.0209,0.0987,0.2258,0.0437,0.2488,0.1188,0.0175,0.019,0.0947,0.012,0.3109,0.0279,2.5146,9.8133,Intervention,Biomass,Baseline
3M53177,0.0048,0.0121,0.0362,0.0131,0.0115,0.0152,0.0089,0.0067,0.0212,0.0037,0.0113,0.0118,4.8091,4.8017,Intervention,LPG,Intervention
3M53178,0.0052,0.0068,0.0184,0.0149,0.0311,0.0165,0.0132,0.0045,0.02,0.0037,0.0118,0.0103,0.9321,4.7689,Intervention,Biomass,Baseline
3M53179,0.0181,0.0535,0.1789,0.0301,0.1664,0.0554,0.0135,0.0075,0.0483,0.0094,0.1595,0.025,3.041,10.1966,Control,Biomass,Control
3M53187,0.0061,0.0611,0.1201,0.0126,0.0186,0.0099,0.0096,0.0046,0.0411,0.0037,0.0093,0.0102,1.3626,4.688,Intervention,LPG,Intervention
3M53189,0.0086,0.0493,0.1295,0.0232,0.0269,0.0166,0.0098,0.0037,0.0354,0.009,0.0112,0.0176,0.2942,4.7196,Intervention,LPG,Intervention
3M53190,0.0138,0.0657,0.0941,0.0224,0.0399,0.0246,0.009,0.007,0.0303,0.0088,0.0145,0.0136,1.1087,4.8189,Control,Biomass,Control
3M53194,0.0103,0.0486,0.0642,0.0208,0.1013,0.0189,0.008,0.0045,0.0222,0.0037,0.1101,0.0166,3.0345,7.2961,Control,Biomass,Control
3M53196,0.0077,0.0663,0.091,0.0223,0.0343,0.033,0.0109,0.0058,0.0349,0.0099,0.0251,0.0103,1.7944,4.8058,Intervention,LPG,Intervention
3M53199,0.0126,0.0845,0.1998,0.022,0.0249,0.0337,0.02,0.0127,0.0735,0.0106,0.0232,0.0265,2.2606,4.8017,Intervention,LPG,Intervention
3M53203,0.0098,0.0529,0.10780000000000001,0.0252,0.0323,0.0347,0.0106,0.0047,0.0309,0.0088,0.021,0.0135,1.7563,4.9161,Intervention,LPG,Intervention
3M53208,0.017,0.055,0.1468,0.0318,0.1389,0.0485,0.0143,0.0073,0.0457,0.0037,0.1621,0.0207,2.2124,6.9528,Control,Biomass,Control
3M53209,0.0082,0.0254,0.1032,0.0182,0.0248,0.0449,0.0116,0.0123,0.0512,0.0148,0.0183,0.0133,1.9608,4.7457,Control,Biomass,Control
3M53210,0.01,0.0166,0.0526,0.0248,0.0429,0.0161,0.0096,0.0046,0.0253,0.0096,0.0123,0.0192,1.0422,4.786,Intervention,LPG,Intervention
3M53213,0.0098,0.0357,0.0761,0.0175,0.0324,0.0259,0.0107,0.0069,0.0352,0.0037,0.0136,0.0152,1.3436,4.6812,Intervention,LPG,Intervention
3M53217,0.0122,0.0477,0.0438,0.0292,0.0906,0.0192,0.0089,0.0043,0.0288,0.0037,0.0607,0.0159,2.0212,5.9729,Control,Biomass,Control
3M53224,0.0264,0.0977,0.2369,0.0251,0.1011,0.0627,0.0139,0.0088,0.0478,0.0037,0.1238,0.0294,2.2473,6.5125,Control,Biomass,Control
3M53226,0.0106,0.0382,0.0141,0.0199,0.0184,0.0119,0.0071,0.0046,0.0144,0.0037,0.0116,0.0181,1.6782,4.6847,Control,Biomass,Control
3M53231,0.0084,0.0369,0.0215,0.0196,0.0336,0.013,0.009,0.0046,0.0202,0.0127,0.018,0.0182,1.3575,5.0057,Intervention,LPG,Intervention
3M53234,0.0081,0.0809,0.0652,0.0223,0.0554,0.0107,0.0152,0.0079,0.0398,0.0037,0.012,0.0109,2.1917,4.7374,Intervention,LPG,Intervention
3M53237,0.011,0.0627,0.0423,0.022,0.0826,0.0159,0.0182,0.0107,0.0237,0.0037,0.069,0.0174,3.2558,5.84,Intervention,LPG,Intervention
3M53247,0.0131,0.0756,0.0868,0.0215,0.0283,0.0165,0.0173,0.0101,0.0364,0.0201,0.0274,0.017,2.0854,4.8196,Intervention,LPG,Intervention
3M53250,0.01,0.0532,0.0426,0.024,0.0424,0.0344,0.0127,0.0097,0.0227,0.0183,0.0538,0.0134,2.6091,6.0052,Intervention,Biomass,Baseline
3M53252,0.0098,0.0959,0.1035,0.0259,0.1084,0.0219,0.0207,0.0117,0.0426,0.024,0.1646,0.0108,2.0619,8.0609,Control,Biomass,Control
3M53253,0.0063,0.0366,0.0104,0.0312,0.0509,0.0162,0.0132,0.0093,0.0155,0.0219,0.031,0.061,2.1575,5.8544,Control,Biomass,Control
3M53256,0.0123,0.0701,0.076,0.0249,0.0227,0.0257,0.0174,0.0086,0.0325,0.0037,0.0278,0.0173,0.857,4.8464,Intervention,LPG,Intervention
3M53261,0.0097,0.0409,0.0215,0.0422,0.398,0.0241,0.0159,0.0114,0.0164,0.0037,1.0075,0.061,2.9744,21.3515,Control,Biomass,Control
3M53270,0.0186,0.069,0.0633,0.0355,0.2402,0.0269,0.0186,0.0114,0.0315,0.0201,0.3907,0.0174,2.8392,5.4808,Control,Biomass,Control
3M53276,0.0152,0.0697,0.0765,0.0168,0.0141,0.0151,0.0164,0.0109,0.0278,0.0037,0.017,0.0173,0.8651,4.7093,Intervention,LPG,Intervention
3M53277,0.0093,0.0523,0.0332,0.0201,0.0697,0.0147,0.0132,0.0046,0.0208,0.0238,0.0485,0.0147,1.5332,4.949,Intervention,LPG,Intervention
3M53278,0.0124,0.0933,0.0747,0.0167,0.0404,0.0324,0.0189,0.0046,0.0417,0.0184,0.0478,0.0131,1.7719,4.9937,Control,Biomass,Control
3M53279,0.0105,0.0639,0.0559,0.041,0.1505,0.0226,0.0168,0.0108,0.033,0.022,0.2585,0.0128,1.8053,14.6336,Control,Biomass,Control
3M53281,0.0145,0.0837,0.0814,0.0241,0.0385,0.0159,0.0189,0.0104,0.0353,0.0201,0.0444,0.0179,1.0157,4.7459,Intervention,LPG,Intervention
3M53289,0.0218,0.0833,0.0956,0.0369,0.2204,0.0367,0.0188,0.0104,0.0443,0.0184,0.2875,0.0175,2.6561,8.7304,Control,Biomass,Control
3M53290,0.0091,0.0367,0.0985,0.021,0.0247,0.0273,0.012,0.0069,0.0418,0.0037,0.0306,0.0106,0.9191,4.8464,Intervention,LPG,Intervention
3M53292,0.017,0.0849,0.1097,0.0491,0.2707,0.0314,0.0174,0.0125,0.0497,0.0037,0.3663,0.0158,1.8981,12.4031,Control,Biomass,Control
3M53293,0.0184,0.0914,0.13,0.0548,0.3237,0.0429,0.0134,0.0112,0.0587,0.0037,0.4229,0.0174,1.8203,12.4031,Control,Biomass,Control
3M53294,0.0143,0.0886,0.085,0.0236,0.0216,0.0171,0.0169,0.0112,0.0405,0.0166,0.0215,0.0155,1.5208,4.7603,Intervention,LPG,Intervention
3M53300,0.011,0.0573,0.048,0.0321,0.1633,0.0175,0.0149,0.0107,0.0341,0.0206,0.2276,0.02,1.4984,8.2283,Control,Biomass,Control
3M53302,0.0064,0.0398,0.0049,0.0116,0.0209,0.0094,0.0172,0.0046,0.0124,0.0243,0.0146,0.061,0.2795,4.6822,Intervention,LPG,Intervention
3M53312,0.0149,0.0662,0.0714,0.0215,0.0447,0.0283,0.018,0.0095,0.0401,0.0037,0.0409,0.0186,3.9815,4.8873,Control,Biomass,Control
3M53316,0.0086,0.0462,0.0518,0.0334,0.0741,0.0285,0.0167,0.011,0.0312,0.0183,0.1965,0.0118,2.209,22.2704,Control,Biomass,Control
3M53317,0.0074,0.0389,0.0114,0.0098,0.05,0.012,0.0166,0.0106,0.0178,0.0201,0.0894,0.061,1.9233,7.7746,Control,Biomass,Control
3M53320,0.0171,0.0668,0.1066,0.0317,0.125,0.0557,0.018,0.0109,0.0282,0.0037,0.2794,0.0115,2.0843,15.7152,Control,Biomass,Control
3M53321,0.0093,0.0396,0.0144,0.0247,0.2728,0.0166,0.0132,0.0094,0.0174,0.0037,0.6151,0.061,2.7237,8.2045,Control,Biomass,Control
3M53322,0.0084,0.0685,0.0532,0.0122,0.0607,0.0183,0.0165,0.0046,0.0252,0.0183,0.0775,0.0136,2.1163,5.2279,Intervention,LPG,Intervention
3M53325,0.0097,0.0632,0.0519,0.0181,0.0854,0.0223,0.0179,0.0104,0.0271,0.0201,0.122,0.0114,2.3137,8.0905,Control,Biomass,Control
3M53333,0.0132,0.0701,0.1068,0.0215,0.1091,0.0274,0.0188,0.0112,0.0277,0.0037,0.1701,0.0108,4.674,7.7921,Control,Biomass,Control
3M53338,0.0148,0.1038,0.1381,0.0572,0.351,0.0502,0.0199,0.0127,0.0663,0.0037,0.5431,0.0133,3.0118,21.9549,Intervention,Biomass,Baseline
3M53340,0.0086,0.0599,0.0857,0.0265,0.0999,0.0362,0.0176,0.0116,0.0312,0.0185,0.1796,0.061,2.005,16.3035,Control,Biomass,Control
3M53341,0.0083,0.037,0.023,0.0128,0.0247,0.0149,0.0132,0.0046,0.0148,0.0037,0.0151,0.061,2.1952,4.6808,Control,Biomass,Control
3M53342,0.0052,0.0341,0.0067,0.0058,0.0135,0.0076,0.0132,0.0046,0.0139,0.0202,0.009,0.061,1.6388,4.7227,Intervention,LPG,Intervention
3M53343,0.006,0.0395,0.0071,0.0091,0.0586,0.021,0.0132,0.0046,0.017,0.0201,0.0692,0.061,1.8121,4.6815,Intervention,LPG,Intervention
3M53346,0.0053,0.0262,0.0104,0.0073,0.0238,0.0076,0.0132,0.0104,0.0101,0.0179,0.0273,0.061,4.1759,7.9623,Control,Biomass,Control
3M53347,0.0099,0.0433,0.0297,0.0099,0.0516,0.0209,0.0171,0.0105,0.0186,0.0201,0.0689,0.061,1.7046,5.8585,Control,Biomass,Control
3M53349,0.0056,0.0409,0.0043,0.0111,0.0106,0.0067,0.0132,0.0114,0.015,0.0037,0.0081,0.061,0.6175,4.743,Intervention,LPG,Intervention
3M53350,0.0057,0.0292,0.0104,0.0122,0.0106,0.0106,0.0165,0.0046,0.0113,0.0037,0.0103,0.061,2.3051,4.6834,Intervention,LPG,Intervention
3M53351,0.0069,0.043,0.0302,0.012,0.0165,0.0114,0.0132,0.009,0.0136,0.0037,0.01,0.0089,0.8068,4.6828,Control,Biomass,Control
3M53354,0.0062,0.034,0.0065,0.0267,0.1272,0.0172,0.0132,0.0095,0.0144,0.0186,0.1723,0.061,3.4144,7.1838,Control,Biomass,Control
3M53355,0.0133,0.1178,0.1369,0.0084,0.034,0.0378,0.0215,0.0159,0.0872,0.0201,0.047,0.0132,2.8147,4.9078,Intervention,LPG,Intervention
3M53358,0.0083,0.0363,0.0044,0.0092,0.0573,0.0325,0.0156,0.0096,0.014,0.0037,0.0628,0.061,3.2365,6.4472,Control,Biomass,Control
3M53368,0.0075,0.0304,0.0294,0.0108,0.0209,0.0196,0.0132,0.0048,0.0254,0.0037,0.0187,0.0091,1.7656,4.7951,Control,Biomass,Control
3M53378,0.0108,0.0276,0.0104,0.0134,0.0491,0.0807,0.0132,0.0056,0.0102,0.0037,0.1094,0.061,1.4505,5.5232,Control,Biomass,Control
3M53385,0.0202,0.0658,0.079,0.0197,0.065,0.0478,0.0093,0.0061,0.031,0.0037,0.0869,0.0159,3.0595,6.1612,Control,Biomass,Baseline
3M53392,0.0194,0.0501,0.1251,0.0241,0.0742,0.0365,0.0094,0.0054,0.0453,0.0037,0.0942,0.0249,2.2117,5.6618,Control,Biomass,Baseline
3M53393,0.0154,0.0675,0.1341,0.0287,0.1068,0.0419,0.0148,0.0072,0.0599,0.008,0.1775,0.0206,2.4243,7.3596,Control,Biomass,Baseline
3M53395,0.0187,0.0643,0.1332,0.0306,0.1039,0.0361,0.0115,0.0071,0.0547,0.0037,0.1165,0.0171,2.3355,6.598,Control,Biomass,Control
3M53398,0.0067,0.0059,0.0056,0.0258,0.1285,0.0385,0.0132,0.0046,0.0104,0.0081,0.1947,0.0144,1.7355,5.7741,Control,Biomass,Control
3M53402,0.0059,0.009,0.0133,0.02,0.0218,0.0114,0.0132,0.003,0.0116,0.0079,0.0121,0.0149,3.2405,4.9662,Intervention,LPG,Intervention
3M53405,0.0062,0.0393,0.0525,0.0162,0.0255,0.0246,0.0107,0.0061,0.0363,0.0037,0.0169,0.0138,0.8103,4.6888,Intervention,LPG,Intervention
3M53407,0.0074,0.0069,0.0083,0.067,0.7216,0.0156,0.0132,0.0046,0.0129,0.0102,1.4038,0.061,2.8459,23.3117,Control,Biomass,Control
3M53421,0.009,0.0614,0.0507,0.0177,0.0492,0.0154,0.0082,0.0052,0.0278,0.009,0.0452,0.0142,2.1736,4.9303,Control,Biomass,Baseline
3M53422,0.0117,0.0528,0.041,0.0243,0.0956,0.0381,0.011,0.0046,0.0311,0.011,0.1505,0.0112,2.192,12.0194,Intervention,Biomass,Baseline
3M53431,0.0193,0.0679,0.0919,0.0292,0.0719,0.0301,0.0105,0.0052,0.039,0.0037,0.1152,0.0307,2.9003,6.9828,Control,Biomass,Control
3M53435,0.0141,0.0486,0.042,0.0198,0.0192,0.0136,0.0095,0.0046,0.0242,0.0037,0.0203,0.0177,1.426,4.6895,Control,Biomass,Control
3M53438,0.0096,0.0286,0.0481,0.0117,0.014,0.0226,0.008,0.0039,0.0245,0.0091,0.0236,0.0151,0.2977,4.6889,Intervention,LPG,Intervention
3M53440,0.022,0.0711,0.1988,0.0298,0.0474,0.0337,0.0139,0.0046,0.0545,0.0037,0.0754,0.0387,1.467,4.9353,Intervention,LPG,Intervention
3M53444,0.0217,0.0484,0.1609,0.0348,0.0843,0.0329,0.0121,0.0078,0.0437,0.0077,0.1364,0.0363,2.2872,6.5085,Intervention,Biomass,Baseline
3M53448,0.0292,0.0527,0.1319,0.0577,0.3644,0.1002,0.0144,0.0065,0.0542,0.011,0.8127,0.032,2.6375,12.6278,Control,Biomass,Control
3M53455,0.0062,0.0156,0.0163,0.0309,0.0417,0.0097,0.0067,0.0046,0.0182,0.0116,0.0769,0.0132,2.5202,5.0496,Intervention,LPG,Intervention
3M53457,0.0088,0.0625,0.0499,0.011,0.0099,0.0155,0.0094,0.0074,0.0326,0.0037,0.0132,0.0096,0.8288,4.6822,Intervention,LPG,Intervention
3M53464,0.0169,0.0652,0.0822,0.0421,0.1487,0.0172,0.0169,0.0097,0.03,0.0201,0.1825,0.0136,2.1469,6.7933,Control,Biomass,Control
3M53465,0.0093,0.0431,0.0268,0.0266,0.0172,0.0106,0.0132,0.0046,0.018,0.0184,0.0105,0.0118,1.4614,4.7233,Intervention,LPG,Intervention
3M53467,0.0118,0.0653,0.0527,0.0243,0.0199,0.0129,0.0172,0.0046,0.025,0.0037,0.0155,0.0109,0.8122,4.6817,Intervention,LPG,Intervention
3M53472,0.0093,0.0654,0.0617,0.0137,0.0518,0.0162,0.0158,0.01,0.0248,0.0206,0.054,0.0103,1.3758,5.3064,Intervention,LPG,Intervention
3M53482,0.02,0.0961,0.1211,0.0318,0.0466,0.0507,0.0191,0.0112,0.056,0.0238,0.0446,0.0188,2.0655,4.9878,Control,Biomass,Control
3M53487,0.0055,0.0374,0.0171,0.0164,0.0149,0.0115,0.0132,0.0108,0.0152,0.0037,0.011,0.061,1.6455,4.6884,Intervention,LPG,Intervention
3M53492,0.0108,0.072,0.0564,0.0139,0.0201,0.0354,0.0132,0.0099,0.0375,0.0184,0.0337,0.012,2.1905,4.7894,Intervention,LPG,Intervention
3M53502,0.0128,0.1255,0.1939,0.0132,0.0283,0.0271,0.0202,0.0174,0.0776,0.0172,0.0249,0.0109,1.0387,4.9878,Intervention,LPG,Intervention
3M53504,0.0071,0.0371,0.0047,0.0244,0.1148,0.0157,0.0132,0.0114,0.0135,0.0185,0.1075,0.061,1.6262,9.1646,Control,Biomass,Control
3M53519,0.0229,0.0731,0.087,0.037,0.1431,0.0672,0.0166,0.0099,0.0324,0.0174,0.1423,0.0147,2.4582,7.361,Control,Biomass,Control
3M53521,0.0094,0.0432,0.0199,0.0327,0.07,0.0141,0.016,0.0097,0.0192,0.0219,0.0448,0.0097,2.3454,5.9422,Control,Biomass,Control
3M53523,0.012,0.1033,0.1043,0.0352,0.0573,0.0193,0.0219,0.0123,0.0466,0.0201,0.0457,0.0139,2.9055,6.376,Control,Biomass,Control
3M53524,0.0103,0.0618,0.054,0.034,0.0595,0.0196,0.0167,0.0103,0.0282,0.0201,0.03,0.0122,1.3427,4.7529,Control,Biomass,Control
3M53527,0.0071,0.0108,0.0236,0.0282,0.076,0.0205,0.0091,0.0059,0.0263,0.0037,0.0748,0.0115,2.2396,5.9422,Control,Biomass,Control
3M53528,0.0154,0.0546,0.0496,0.0346,0.1099,0.0391,0.0163,0.0095,0.0291,0.0182,0.115,0.0118,3.0049,6.1215,Control,Biomass,Control
3M53530,0.0094,0.0543,0.0419,0.0323,0.0355,0.0113,0.0132,0.0101,0.0252,0.0037,0.0206,0.011,2.6909,4.9303,Intervention,LPG,Intervention
3M53534,0.0135,0.0382,0.0143,0.0233,0.104,0.0236,0.0162,0.0046,0.0165,0.0037,0.1188,0.0117,2.0439,5.9917,Control,Biomass,Baseline
3M53540,0.012,0.0512,0.0212,0.0235,0.1453,0.0295,0.0179,0.0105,0.0208,0.0037,0.1931,0.061,2.6546,7.3047,Control,Biomass,Control
3M53543,0.0135,0.1432,0.2038,0.0286,0.0915,0.0367,0.0194,0.0127,0.0618,0.0037,0.1539,0.015,2.0004,8.401,Control,Biomass,Control
3M53552,0.0077,0.0474,0.012,0.0132,0.0329,0.0125,0.0132,0.0126,0.0179,0.022,0.0524,0.061,1.726,4.7127,Intervention,LPG,Intervention
3M53573,0.0161,0.1377,0.1869,0.0214,0.0445,0.0352,0.0241,0.0148,0.0757,0.0201,0.0553,0.0161,1.8844,5.0932,Control,Biomass,Control
3M53610,0.0064,0.035,0.0067,0.0099,0.0238,0.0097,0.0132,0.0046,0.0137,0.0175,0.0128,0.061,1.6579,4.7951,Control,Biomass,Control
3M53611,0.0073,0.0478,0.0952,0.0088,0.0258,0.0094,0.0132,0.0094,0.0199,0.0037,0.0209,0.0097,1.7713,4.7355,Intervention,LPG,Intervention
3M53616,0.0054,0.034,0.0033,0.0081,0.0321,0.0117,0.0137,0.0046,0.0128,0.0201,0.0306,0.061,1.2482,5.1287,Intervention,LPG,Intervention
3M53619,0.0067,0.04,0.0351,0.0084,0.0176,0.0163,0.0132,0.0086,0.0115,0.0165,0.0155,0.01,0.4751,4.7249,Intervention,LPG,Intervention
3M53624,0.0111,0.0553,0.0382,0.018,0.0485,0.0421,0.0163,0.0107,0.0255,0.0202,0.0614,0.0114,2.6612,5.2166,Control,Biomass,Control
3M53628,0.014,0.0472,0.017,0.0137,0.063,0.0452,0.0156,0.0104,0.023,0.0037,0.0852,0.061,1.6842,5.8802,Control,Biomass,Control
3M53629,0.0097,0.0333,0.019,0.0314,0.2632,0.0339,0.0132,0.0092,0.0134,0.0037,0.5866,0.061,2.8161,13.6273,Control,Biomass,Control
3M53632,0.0229,0.0765,0.0744,0.028,0.1866,0.0513,0.0163,0.0134,0.0471,0.0172,0.2904,0.0132,2.65,9.0372,Control,Biomass,Control
3M53638,0.0048,0.034,0.0104,0.0061,0.0154,0.0056,0.0132,0.0046,0.0095,0.0037,0.0135,0.061,1.1241,4.6816,Intervention,LPG,Intervention
3M53639,0.013,0.0668,0.0452,0.0099,0.0384,0.0605,0.0143,0.0046,0.0276,0.0201,0.0473,0.01,2.9624,5.902,Intervention,LPG,Intervention
3M53650,0.0212,0.1748,0.3424,0.016,0.0958,0.0529,0.0211,0.0124,0.0675,0.0201,0.114,0.029,3.72,6.6539,Control,Biomass,Control
